Nos.,order_id,item,Price,City,quantity,bill_amount,state,date
1,1,Product 42,128,Pune,10,1280,Maharashtra,2014
2,1,Product 462,168,Pune,7,1176,Maharashtra,2014
3,1,Product 305,146,Pune,5,730,Maharashtra,2014
4,1,Product 388,228,Pune,7,1596,Maharashtra,2014
5,1,Product 128,152,Pune,8,1216,Maharashtra,2014
6,1,Product 163,71,Pune,2,142,Maharashtra,2014
7,1,Product 217,59,Pune,10,590,Maharashtra,2014
8,1,Product 32,197,Pune,5,985,Maharashtra,2014
9,1,Product 187,289,Pune,4,1156,Maharashtra,2014
10,1,Product 236,72,Pune,3,216,Maharashtra,2014
11,1,Product 94,295,Pune,2,590,Maharashtra,2014
12,2,Product 407,300,Coimbatore,4,1200,Tamil Nadu,2014
13,2,Product 499,80,Coimbatore,1,80,Tamil Nadu,2014
14,2,Product 80,228,Coimbatore,10,2280,Tamil Nadu,2014
15,2,Product 54,291,Coimbatore,6,1746,Tamil Nadu,2014
16,2,Product 109,126,Coimbatore,10,1260,Tamil Nadu,2014
17,2,Product 351,192,Coimbatore,1,192,Tamil Nadu,2014
18,2,Product 485,295,Coimbatore,6,1770,Tamil Nadu,2014
19,2,Product 360,189,Coimbatore,2,378,Tamil Nadu,2014
20,2,Product 104,211,Coimbatore,4,844,Tamil Nadu,2014
21,2,Product 390,294,Coimbatore,8,2352,Tamil Nadu,2014
22,2,Product 173,84,Coimbatore,1,84,Tamil Nadu,2014
23,2,Product 93,206,Coimbatore,7,1442,Tamil Nadu,2014
24,3,Product 451,214,Aurangabad,8,1712,Maharashtra,2014
25,3,Product 295,247,Aurangabad,7,1729,Maharashtra,2014
26,3,Product 215,75,Aurangabad,9,675,Maharashtra,2014
27,3,Product 309,220,Aurangabad,1,220,Maharashtra,2014
28,3,Product 224,142,Aurangabad,1,142,Maharashtra,2014
29,3,Product 355,182,Aurangabad,2,364,Maharashtra,2014
30,3,Product 315,122,Aurangabad,1,122,Maharashtra,2014
31,3,Product 212,70,Aurangabad,8,560,Maharashtra,2014
32,3,Product 44,109,Aurangabad,8,872,Maharashtra,2014
33,3,Product 357,129,Aurangabad,4,516,Maharashtra,2014
34,3,Product 99,108,Aurangabad,3,324,Maharashtra,2014
35,3,Product 364,217,Aurangabad,1,217,Maharashtra,2014
36,3,Product 377,275,Aurangabad,8,2200,Maharashtra,2014
37,3,Product 471,234,Aurangabad,1,234,Maharashtra,2014
38,3,Product 182,87,Aurangabad,4,348,Maharashtra,2014
39,3,Product 36,64,Aurangabad,9,576,Maharashtra,2014
40,3,Product 467,144,Aurangabad,9,1296,Maharashtra,2014
41,4,Product 344,300,Nagpur,7,2100,Maharashtra,2014
42,4,Product 144,55,Nagpur,2,110,Maharashtra,2014
43,4,Product 184,86,Nagpur,4,344,Maharashtra,2014
44,4,Product 166,60,Nagpur,5,300,Maharashtra,2014
45,4,Product 329,148,Nagpur,4,592,Maharashtra,2014
46,4,Product 414,136,Nagpur,7,952,Maharashtra,2014
47,4,Product 371,128,Nagpur,6,768,Maharashtra,2014
48,4,Product 498,299,Nagpur,10,2990,Maharashtra,2014
49,4,Product 441,153,Nagpur,2,306,Maharashtra,2014
50,4,Product 93,206,Nagpur,10,2060,Maharashtra,2014
51,4,Product 129,118,Nagpur,7,826,Maharashtra,2014
52,5,Product 23,278,Ahemadabad,7,1946,Gujarat,2014
53,5,Product 123,53,Ahemadabad,7,371,Gujarat,2014
54,5,Product 350,204,Ahemadabad,10,2040,Gujarat,2014
55,5,Product 284,193,Ahemadabad,2,386,Gujarat,2014
56,5,Product 215,75,Ahemadabad,9,675,Gujarat,2014
57,5,Product 102,78,Ahemadabad,5,390,Gujarat,2014
58,5,Product 262,257,Ahemadabad,8,2056,Gujarat,2014
59,5,Product 214,68,Ahemadabad,7,476,Gujarat,2014
60,5,Product 290,118,Ahemadabad,6,708,Gujarat,2014
61,5,Product 219,227,Ahemadabad,9,2043,Gujarat,2014
62,5,Product 47,256,Ahemadabad,4,1024,Gujarat,2014
63,5,Product 485,295,Ahemadabad,1,295,Gujarat,2014
64,5,Product 103,216,Ahemadabad,6,1296,Gujarat,2014
65,6,Product 224,142,Gurgaon,6,852,Haryana,2014
66,6,Product 164,265,Gurgaon,2,530,Haryana,2014
67,6,Product 206,205,Gurgaon,3,615,Haryana,2014
68,6,Product 397,64,Gurgaon,5,320,Haryana,2014
69,6,Product 399,232,Gurgaon,7,1624,Haryana,2014
70,6,Product 469,109,Gurgaon,5,545,Haryana,2014
71,6,Product 291,297,Gurgaon,9,2673,Haryana,2014
72,6,Product 303,285,Gurgaon,4,1140,Haryana,2014
73,6,Product 293,199,Gurgaon,1,199,Haryana,2014
74,6,Product 84,242,Gurgaon,6,1452,Haryana,2014
75,6,Product 103,216,Gurgaon,10,2160,Haryana,2014
76,6,Product 391,126,Gurgaon,10,1260,Haryana,2014
77,6,Product 236,72,Gurgaon,1,72,Haryana,2014
78,6,Product 221,191,Gurgaon,1,191,Haryana,2014
79,7,Product 390,294,Kolkata,5,1470,West Bengal,2014
80,7,Product 107,133,Kolkata,10,1330,West Bengal,2014
81,7,Product 97,89,Kolkata,7,623,West Bengal,2014
82,7,Product 46,261,Kolkata,3,783,West Bengal,2014
83,7,Product 137,177,Kolkata,8,1416,West Bengal,2014
84,7,Product 112,193,Kolkata,8,1544,West Bengal,2014
85,7,Product 449,59,Kolkata,7,413,West Bengal,2014
86,7,Product 455,240,Kolkata,2,480,West Bengal,2014
87,7,Product 134,127,Kolkata,6,762,West Bengal,2014
88,7,Product 238,225,Kolkata,2,450,West Bengal,2014
89,7,Product 331,218,Kolkata,4,872,West Bengal,2014
90,7,Product 234,193,Kolkata,5,965,West Bengal,2014
91,7,Product 173,84,Kolkata,10,840,West Bengal,2014
92,7,Product 238,225,Kolkata,9,2025,West Bengal,2014
93,8,Product 305,146,Mumbai,4,584,Maharashtra,2014
94,8,Product 457,267,Mumbai,7,1869,Maharashtra,2014
95,8,Product 176,260,Mumbai,2,520,Maharashtra,2014
96,8,Product 220,141,Mumbai,10,1410,Maharashtra,2014
97,8,Product 398,163,Mumbai,3,489,Maharashtra,2014
98,8,Product 166,60,Mumbai,8,480,Maharashtra,2014
99,8,Product 200,206,Mumbai,6,1236,Maharashtra,2014
100,8,Product 68,271,Mumbai,1,271,Maharashtra,2014
101,8,Product 287,233,Mumbai,6,1398,Maharashtra,2014
102,8,Product 28,201,Mumbai,10,2010,Maharashtra,2014
103,8,Product 36,64,Mumbai,5,320,Maharashtra,2014
104,8,Product 463,75,Mumbai,3,225,Maharashtra,2014
105,9,Product 440,218,Barshi,8,1744,Maharashtra,2014
106,9,Product 322,110,Barshi,1,110,Maharashtra,2014
107,9,Product 102,78,Barshi,2,156,Maharashtra,2014
108,9,Product 226,132,Barshi,1,132,Maharashtra,2014
109,9,Product 424,152,Barshi,2,304,Maharashtra,2014
110,9,Product 214,68,Barshi,4,272,Maharashtra,2014
111,9,Product 93,206,Barshi,2,412,Maharashtra,2014
112,9,Product 309,220,Barshi,4,880,Maharashtra,2014
113,10,Product 488,250,Hyderabad,6,1500,Telangana,2014
114,10,Product 392,82,Hyderabad,3,246,Telangana,2014
115,10,Product 359,245,Hyderabad,9,2205,Telangana,2014
116,10,Product 363,279,Hyderabad,6,1674,Telangana,2014
117,10,Product 53,253,Hyderabad,6,1518,Telangana,2014
118,10,Product 62,52,Hyderabad,4,208,Telangana,2014
119,10,Product 330,127,Hyderabad,9,1143,Telangana,2014
120,10,Product 135,164,Hyderabad,3,492,Telangana,2014
121,10,Product 382,223,Hyderabad,10,2230,Telangana,2014
122,10,Product 200,206,Hyderabad,3,618,Telangana,2014
123,10,Product 157,113,Hyderabad,1,113,Telangana,2014
124,10,Product 485,295,Hyderabad,7,2065,Telangana,2014
125,10,Product 256,97,Hyderabad,9,873,Telangana,2014
126,11,Product 120,68,Warangal,3,204,Telangana,2014
127,11,Product 142,95,Warangal,8,760,Telangana,2014
128,11,Product 163,71,Warangal,10,710,Telangana,2014
129,11,Product 427,216,Warangal,4,864,Telangana,2014
130,11,Product 12,71,Warangal,8,568,Telangana,2014
131,11,Product 155,164,Warangal,2,328,Telangana,2014
132,11,Product 144,55,Warangal,5,275,Telangana,2014
133,11,Product 33,137,Warangal,9,1233,Telangana,2014
134,11,Product 201,189,Warangal,2,378,Telangana,2014
135,11,Product 233,57,Warangal,9,513,Telangana,2014
136,11,Product 175,80,Warangal,8,640,Telangana,2014
137,11,Product 341,279,Warangal,1,279,Telangana,2014
138,11,Product 7,300,Warangal,7,2100,Telangana,2014
139,12,Product 468,237,New Delhi,1,237,New Delhi,2014
140,12,Product 23,278,New Delhi,1,278,New Delhi,2014
141,12,Product 491,146,New Delhi,10,1460,New Delhi,2014
142,12,Product 225,122,New Delhi,5,610,New Delhi,2014
143,12,Product 351,192,New Delhi,4,768,New Delhi,2014
144,12,Product 53,253,New Delhi,6,1518,New Delhi,2014
145,12,Product 236,72,New Delhi,7,504,New Delhi,2014
146,12,Product 236,72,New Delhi,9,648,New Delhi,2014
147,13,Product 380,210,Vita,5,1050,Maharashtra,2014
148,13,Product 150,111,Vita,9,999,Maharashtra,2014
149,13,Product 81,109,Vita,1,109,Maharashtra,2014
150,13,Product 479,53,Vita,7,371,Maharashtra,2014
151,13,Product 409,77,Vita,9,693,Maharashtra,2014
152,13,Product 325,85,Vita,5,425,Maharashtra,2014
153,13,Product 113,133,Vita,3,399,Maharashtra,2014
154,13,Product 173,84,Vita,1,84,Maharashtra,2014
155,13,Product 97,89,Vita,8,712,Maharashtra,2014
156,14,Product 75,108,Anantapur,2,216,Maharashtra,2014
157,14,Product 483,288,Anantapur,6,1728,Maharashtra,2014
158,14,Product 274,268,Anantapur,2,536,Maharashtra,2014
159,14,Product 187,289,Anantapur,5,1445,Maharashtra,2014
160,14,Product 36,64,Anantapur,9,576,Maharashtra,2014
161,14,Product 249,131,Anantapur,1,131,Maharashtra,2014
162,15,Product 128,152,Kurnool,10,1520,Andhra Pradesh,2014
163,15,Product 447,75,Kurnool,9,675,Andhra Pradesh,2014
164,15,Product 319,146,Kurnool,1,146,Andhra Pradesh,2014
165,15,Product 25,57,Kurnool,9,513,Andhra Pradesh,2014
166,15,Product 54,291,Kurnool,9,2619,Andhra Pradesh,2014
167,15,Product 375,298,Kurnool,2,596,Andhra Pradesh,2014
168,15,Product 323,203,Kurnool,8,1624,Andhra Pradesh,2014
169,15,Product 397,64,Kurnool,8,512,Andhra Pradesh,2014
170,15,Product 74,164,Kurnool,10,1640,Andhra Pradesh,2014
171,15,Product 93,206,Kurnool,1,206,Andhra Pradesh,2014
172,15,Product 463,75,Kurnool,4,300,Andhra Pradesh,2014
173,16,Product 68,271,Bangalore,4,1084,Karnataka,2014
174,16,Product 18,136,Bangalore,7,952,Karnataka,2014
175,16,Product 15,238,Bangalore,4,952,Karnataka,2014
176,16,Product 31,81,Bangalore,7,567,Karnataka,2014
177,16,Product 7,300,Bangalore,5,1500,Karnataka,2014
178,16,Product 78,168,Bangalore,2,336,Karnataka,2014
179,16,Product 427,216,Bangalore,1,216,Karnataka,2014
180,16,Product 89,154,Bangalore,6,924,Karnataka,2014
181,16,Product 485,295,Bangalore,3,885,Karnataka,2014
182,16,Product 341,279,Bangalore,6,1674,Karnataka,2014
183,16,Product 161,122,Bangalore,6,732,Karnataka,2014
184,16,Product 485,295,Bangalore,9,2655,Karnataka,2014
185,16,Product 322,110,Bangalore,7,770,Karnataka,2014
186,17,Product 20,295,Dehli,2,590,New Delhi,2014
187,17,Product 5,257,Dehli,1,257,New Delhi,2014
188,17,Product 474,109,Dehli,2,218,New Delhi,2014
189,17,Product 131,141,Dehli,9,1269,New Delhi,2014
190,17,Product 36,64,Dehli,3,192,New Delhi,2014
191,17,Product 236,72,Dehli,3,216,New Delhi,2014
192,17,Product 288,53,Dehli,3,159,New Delhi,2014
193,18,Product 199,280,Chennai,1,280,Tamil Nadu,2014
194,18,Product 175,80,Chennai,8,640,Tamil Nadu,2014
195,18,Product 307,206,Chennai,1,206,Tamil Nadu,2014
196,18,Product 239,300,Chennai,6,1800,Tamil Nadu,2014
197,18,Product 325,85,Chennai,9,765,Tamil Nadu,2014
198,18,Product 359,245,Chennai,2,490,Tamil Nadu,2014
199,18,Product 452,164,Chennai,8,1312,Tamil Nadu,2014
200,18,Product 334,293,Chennai,3,879,Tamil Nadu,2014
201,18,Product 445,86,Chennai,9,774,Tamil Nadu,2014
202,18,Product 116,214,Chennai,6,1284,Tamil Nadu,2014
203,18,Product 471,234,Chennai,8,1872,Tamil Nadu,2014
204,18,Product 14,192,Chennai,1,192,Tamil Nadu,2014
205,18,Product 14,192,Chennai,10,1920,Tamil Nadu,2014
206,18,Product 427,216,Chennai,8,1728,Tamil Nadu,2014
207,18,Product 173,84,Chennai,9,756,Tamil Nadu,2014
208,18,Product 456,135,Chennai,4,540,Tamil Nadu,2014
209,19,Product 392,82,Thrissur,7,574,Kerela,2014
210,19,Product 270,289,Thrissur,10,2890,Kerela,2014
211,19,Product 92,108,Thrissur,3,324,Kerela,2014
212,19,Product 380,210,Thrissur,8,1680,Kerela,2014
213,19,Product 140,232,Thrissur,3,696,Kerela,2014
214,19,Product 396,291,Thrissur,4,1164,Kerela,2014
215,19,Product 19,217,Thrissur,2,434,Kerela,2014
216,19,Product 120,68,Thrissur,10,680,Kerela,2014
217,19,Product 87,90,Thrissur,8,720,Kerela,2014
218,19,Product 299,83,Thrissur,8,664,Kerela,2014
219,19,Product 178,165,Thrissur,7,1155,Kerela,2014
220,19,Product 406,72,Thrissur,2,144,Kerela,2014
221,19,Product 170,83,Thrissur,2,166,Kerela,2014
222,19,Product 36,64,Thrissur,9,576,Kerela,2014
223,19,Product 9,69,Thrissur,3,207,Kerela,2014
224,20,Product 377,275,Bijapur,10,2750,Karnataka,2014
225,20,Product 382,223,Bijapur,9,2007,Karnataka,2014
226,20,Product 500,227,Bijapur,4,908,Karnataka,2014
227,20,Product 430,242,Bijapur,10,2420,Karnataka,2014
228,20,Product 462,168,Bijapur,10,1680,Karnataka,2014
229,20,Product 485,295,Bijapur,5,1475,Karnataka,2014
230,20,Product 237,193,Bijapur,10,1930,Karnataka,2014
231,20,Product 102,78,Bijapur,8,624,Karnataka,2014
232,20,Product 445,86,Bijapur,9,774,Karnataka,2014
233,20,Product 441,153,Bijapur,5,765,Karnataka,2014
234,20,Product 75,108,Bijapur,9,972,Karnataka,2014
235,20,Product 93,206,Bijapur,2,412,Karnataka,2014
236,20,Product 420,258,Bijapur,10,2580,Karnataka,2014
237,21,Product 131,141,Nasik,9,1269,Maharashtra,2014
238,21,Product 79,122,Nasik,2,244,Maharashtra,2014
239,21,Product 77,178,Nasik,10,1780,Maharashtra,2014
240,21,Product 484,115,Nasik,5,575,Maharashtra,2014
241,21,Product 172,194,Nasik,9,1746,Maharashtra,2014
242,21,Product 231,274,Nasik,9,2466,Maharashtra,2014
243,21,Product 377,275,Nasik,5,1375,Maharashtra,2014
244,21,Product 193,282,Nasik,10,2820,Maharashtra,2014
245,21,Product 490,74,Nasik,9,666,Maharashtra,2014
246,21,Product 485,295,Nasik,3,885,Maharashtra,2014
247,21,Product 254,150,Nasik,2,300,Maharashtra,2014
248,22,Product 341,279,Secundrabad,3,837,Telangana,2014
249,22,Product 271,119,Secundrabad,9,1071,Telangana,2014
250,22,Product 343,191,Secundrabad,5,955,Telangana,2014
251,22,Product 175,80,Secundrabad,1,80,Telangana,2014
252,22,Product 338,155,Secundrabad,6,930,Telangana,2014
253,22,Product 341,279,Secundrabad,8,2232,Telangana,2014
254,22,Product 54,291,Secundrabad,7,2037,Telangana,2014
255,23,Product 401,149,Belgaum,6,894,Karnataka,2015
256,23,Product 403,62,Belgaum,4,248,Karnataka,2015
257,23,Product 37,260,Belgaum,9,2340,Karnataka,2015
258,23,Product 313,293,Belgaum,4,1172,Karnataka,2015
259,23,Product 456,135,Belgaum,1,135,Karnataka,2015
260,23,Product 96,278,Belgaum,5,1390,Karnataka,2015
261,23,Product 257,128,Belgaum,5,640,Karnataka,2015
262,23,Product 294,55,Belgaum,8,440,Karnataka,2015
263,23,Product 134,127,Belgaum,8,1016,Karnataka,2015
264,23,Product 293,199,Belgaum,7,1393,Karnataka,2015
265,23,Product 441,153,Belgaum,8,1224,Karnataka,2015
266,23,Product 236,72,Belgaum,6,432,Karnataka,2015
267,23,Product 467,144,Belgaum,5,720,Karnataka,2015
268,24,Product 15,238,Amravati,8,1904,Maharashtra,2015
269,24,Product 257,128,Amravati,6,768,Maharashtra,2015
270,24,Product 462,168,Amravati,4,672,Maharashtra,2015
271,24,Product 409,77,Amravati,9,693,Maharashtra,2015
272,24,Product 138,279,Amravati,1,279,Maharashtra,2015
273,24,Product 283,249,Amravati,2,498,Maharashtra,2015
274,24,Product 382,223,Amravati,5,1115,Maharashtra,2015
275,24,Product 460,240,Amravati,1,240,Maharashtra,2015
276,24,Product 429,204,Amravati,3,612,Maharashtra,2015
277,24,Product 269,123,Amravati,1,123,Maharashtra,2015
278,24,Product 173,84,Amravati,10,840,Maharashtra,2015
279,24,Product 453,272,Amravati,3,816,Maharashtra,2015
280,25,Product 457,267,Katol,10,2670,Maharashtra,2015
281,25,Product 147,236,Katol,10,2360,Maharashtra,2015
282,25,Product 162,112,Katol,7,784,Maharashtra,2015
283,25,Product 3,179,Katol,9,1611,Maharashtra,2015
284,25,Product 269,123,Katol,2,246,Maharashtra,2015
285,25,Product 116,214,Katol,3,642,Maharashtra,2015
286,25,Product 419,140,Katol,9,1260,Maharashtra,2015
287,25,Product 432,149,Katol,3,447,Maharashtra,2015
288,25,Product 213,234,Katol,4,936,Maharashtra,2015
289,25,Product 36,64,Katol,2,128,Maharashtra,2015
290,25,Product 253,178,Katol,2,356,Maharashtra,2015
291,26,Product 359,245,Chandigarh,3,735,Haryana,2015
292,26,Product 398,163,Chandigarh,7,1141,Haryana,2015
293,26,Product 30,214,Chandigarh,2,428,Haryana,2015
294,26,Product 306,284,Chandigarh,1,284,Haryana,2015
295,26,Product 480,125,Chandigarh,2,250,Haryana,2015
296,26,Product 451,214,Chandigarh,2,428,Haryana,2015
297,26,Product 485,295,Chandigarh,9,2655,Haryana,2015
298,26,Product 250,208,Chandigarh,5,1040,Haryana,2015
299,26,Product 120,68,Chandigarh,8,544,Haryana,2015
300,26,Product 392,82,Chandigarh,2,164,Haryana,2015
301,26,Product 377,275,Chandigarh,6,1650,Haryana,2015
302,26,Product 93,206,Chandigarh,7,1442,Haryana,2015
303,26,Product 173,84,Chandigarh,8,672,Haryana,2015
304,27,Product 115,160,Dombivli,5,800,Maharashtra,2015
305,27,Product 87,90,Dombivli,10,900,Maharashtra,2015
306,27,Product 54,291,Dombivli,7,2037,Maharashtra,2015
307,27,Product 419,140,Dombivli,6,840,Maharashtra,2015
308,27,Product 66,270,Dombivli,1,270,Maharashtra,2015
309,27,Product 182,87,Dombivli,3,261,Maharashtra,2015
310,27,Product 485,295,Dombivli,4,1180,Maharashtra,2015
311,27,Product 321,95,Dombivli,9,855,Maharashtra,2015
312,28,Product 60,101,Delhi,7,707,New Delhi,2015
313,28,Product 347,279,Delhi,7,1953,New Delhi,2015
314,28,Product 498,299,Delhi,6,1794,New Delhi,2015
315,28,Product 376,292,Delhi,8,2336,New Delhi,2015
316,28,Product 156,184,Delhi,5,920,New Delhi,2015
317,28,Product 17,159,Delhi,8,1272,New Delhi,2015
318,28,Product 424,152,Delhi,1,152,New Delhi,2015
319,28,Product 215,75,Delhi,3,225,New Delhi,2015
320,28,Product 489,283,Delhi,10,2830,New Delhi,2015
321,28,Product 381,130,Delhi,8,1040,New Delhi,2015
322,28,Product 203,180,Delhi,6,1080,New Delhi,2015
323,28,Product 422,61,Delhi,3,183,New Delhi,2015
324,28,Product 416,261,Delhi,2,522,New Delhi,2015
325,28,Product 236,72,Delhi,6,432,New Delhi,2015
326,28,Product 290,118,Delhi,5,590,New Delhi,2015
327,29,Product 260,167,Puri,1,167,Odhisha,2015
328,29,Product 13,210,Puri,3,630,Odhisha,2015
329,29,Product 70,287,Puri,10,2870,Odhisha,2015
330,29,Product 488,250,Puri,3,750,Odhisha,2015
331,29,Product 63,255,Puri,1,255,Odhisha,2015
332,29,Product 252,205,Puri,9,1845,Odhisha,2015
333,29,Product 231,274,Puri,9,2466,Odhisha,2015
334,29,Product 219,227,Puri,8,1816,Odhisha,2015
335,29,Product 197,272,Puri,7,1904,Odhisha,2015
336,29,Product 269,123,Puri,5,615,Odhisha,2015
337,29,Product 196,67,Puri,4,268,Odhisha,2015
338,29,Product 173,84,Puri,1,84,Odhisha,2015
339,29,Product 238,225,Puri,9,2025,Odhisha,2015
340,30,Product 227,108,Navi Mumbai,1,108,Maharashtra,2015
341,30,Product 77,178,Navi Mumbai,9,1602,Maharashtra,2015
342,30,Product 68,271,Navi Mumbai,7,1897,Maharashtra,2015
343,30,Product 414,136,Navi Mumbai,6,816,Maharashtra,2015
344,30,Product 481,251,Navi Mumbai,10,2510,Maharashtra,2015
345,30,Product 354,83,Navi Mumbai,1,83,Maharashtra,2015
346,30,Product 372,132,Navi Mumbai,10,1320,Maharashtra,2015
347,30,Product 86,90,Navi Mumbai,2,180,Maharashtra,2015
348,30,Product 399,232,Navi Mumbai,4,928,Maharashtra,2015
349,30,Product 300,121,Navi Mumbai,9,1089,Maharashtra,2015
350,30,Product 392,82,Navi Mumbai,4,328,Maharashtra,2015
351,30,Product 36,64,Navi Mumbai,5,320,Maharashtra,2015
352,30,Product 208,69,Navi Mumbai,2,138,Maharashtra,2015
353,31,Product 127,211,Pune,4,844,Maharashtra,2015
354,31,Product 217,59,Pune,5,295,Maharashtra,2015
355,31,Product 7,300,Pune,5,1500,Maharashtra,2015
356,31,Product 113,133,Pune,1,133,Maharashtra,2015
357,31,Product 320,182,Pune,10,1820,Maharashtra,2015
358,31,Product 95,284,Pune,3,852,Maharashtra,2015
359,31,Product 14,192,Pune,1,192,Maharashtra,2015
360,31,Product 414,136,Pune,5,680,Maharashtra,2015
361,31,Product 147,236,Pune,3,708,Maharashtra,2015
362,31,Product 94,295,Pune,7,2065,Maharashtra,2015
363,31,Product 309,220,Pune,10,2200,Maharashtra,2015
364,31,Product 341,279,Pune,4,1116,Maharashtra,2015
365,31,Product 251,218,Pune,7,1526,Maharashtra,2015
366,31,Product 133,278,Pune,8,2224,Maharashtra,2015
367,31,Product 447,75,Pune,9,675,Maharashtra,2015
368,31,Product 96,278,Pune,9,2502,Maharashtra,2015
369,31,Product 93,206,Pune,6,1236,Maharashtra,2015
370,31,Product 261,140,Pune,4,560,Maharashtra,2015
371,32,Product 68,271,Nashik,6,1626,Maharashtra,2015
372,32,Product 466,72,Nashik,2,144,Maharashtra,2015
373,32,Product 369,110,Nashik,5,550,Maharashtra,2015
374,32,Product 380,210,Nashik,5,1050,Maharashtra,2015
375,32,Product 117,228,Nashik,9,2052,Maharashtra,2015
376,32,Product 371,128,Nashik,7,896,Maharashtra,2015
377,32,Product 99,108,Nashik,3,324,Maharashtra,2015
378,32,Product 301,217,Nashik,10,2170,Maharashtra,2015
379,32,Product 471,234,Nashik,10,2340,Maharashtra,2015
380,32,Product 425,256,Nashik,3,768,Maharashtra,2015
381,32,Product 483,288,Nashik,4,1152,Maharashtra,2015
382,32,Product 218,254,Nashik,9,2286,Maharashtra,2015
383,32,Product 485,295,Nashik,8,2360,Maharashtra,2015
384,32,Product 81,109,Nashik,2,218,Maharashtra,2015
385,33,Product 294,55,Raipur,7,385,Chattisgarh,2015
386,33,Product 166,60,Raipur,7,420,Chattisgarh,2015
387,33,Product 135,164,Raipur,10,1640,Chattisgarh,2015
388,33,Product 435,218,Raipur,7,1526,Chattisgarh,2015
389,33,Product 254,150,Raipur,8,1200,Chattisgarh,2015
390,33,Product 470,291,Raipur,7,2037,Chattisgarh,2015
391,33,Product 212,70,Raipur,10,700,Chattisgarh,2015
392,33,Product 341,279,Raipur,10,2790,Chattisgarh,2015
393,33,Product 65,146,Raipur,6,876,Chattisgarh,2015
394,34,Product 80,228,Calicut,10,2280,Kerela,2015
395,34,Product 206,205,Calicut,6,1230,Kerela,2015
396,34,Product 270,289,Calicut,8,2312,Kerela,2015
397,34,Product 252,205,Calicut,6,1230,Kerela,2015
398,34,Product 136,280,Calicut,8,2240,Kerela,2015
399,34,Product 372,132,Calicut,3,396,Kerela,2015
400,34,Product 293,199,Calicut,7,1393,Kerela,2015
401,34,Product 247,120,Calicut,4,480,Kerela,2015
402,34,Product 8,86,Calicut,3,258,Kerela,2015
403,34,Product 363,279,Calicut,2,558,Kerela,2015
404,34,Product 54,291,Calicut,8,2328,Kerela,2015
405,34,Product 152,85,Calicut,7,595,Kerela,2015
406,34,Product 85,63,Calicut,5,315,Kerela,2015
407,34,Product 236,72,Calicut,10,720,Kerela,2015
408,34,Product 131,141,Calicut,6,846,Kerela,2015
409,35,Product 335,104,Goregaon East Mumbai,1,104,Maharashtra,2015
410,35,Product 49,137,Goregaon East Mumbai,7,959,Maharashtra,2015
411,35,Product 33,137,Goregaon East Mumbai,9,1233,Maharashtra,2015
412,35,Product 91,68,Goregaon East Mumbai,8,544,Maharashtra,2015
413,35,Product 74,164,Goregaon East Mumbai,7,1148,Maharashtra,2015
414,35,Product 197,272,Goregaon East Mumbai,9,2448,Maharashtra,2015
415,35,Product 474,109,Goregaon East Mumbai,6,654,Maharashtra,2015
416,35,Product 270,289,Goregaon East Mumbai,1,289,Maharashtra,2015
417,35,Product 422,61,Goregaon East Mumbai,7,427,Maharashtra,2015
418,35,Product 104,211,Goregaon East Mumbai,10,2110,Maharashtra,2015
419,35,Product 100,132,Goregaon East Mumbai,8,1056,Maharashtra,2015
420,35,Product 173,84,Goregaon East Mumbai,4,336,Maharashtra,2015
421,35,Product 337,95,Goregaon East Mumbai,2,190,Maharashtra,2015
422,36,Product 279,242,Badlapur,7,1694,Maharashtra,2015
423,36,Product 442,209,Badlapur,1,209,Maharashtra,2015
424,36,Product 233,57,Badlapur,1,57,Maharashtra,2015
425,36,Product 433,100,Badlapur,5,500,Maharashtra,2015
426,36,Product 203,180,Badlapur,6,1080,Maharashtra,2015
427,36,Product 189,166,Badlapur,2,332,Maharashtra,2015
428,36,Product 61,290,Badlapur,7,2030,Maharashtra,2015
429,36,Product 36,64,Badlapur,1,64,Maharashtra,2015
430,36,Product 444,210,Badlapur,1,210,Maharashtra,2015
431,37,Product 478,102,Guntur,5,510,Andhra Pradesh,2015
432,37,Product 421,194,Guntur,8,1552,Andhra Pradesh,2015
433,37,Product 338,155,Guntur,5,775,Andhra Pradesh,2015
434,37,Product 497,264,Guntur,5,1320,Andhra Pradesh,2015
435,37,Product 93,206,Guntur,9,1854,Andhra Pradesh,2015
436,37,Product 36,64,Guntur,8,512,Andhra Pradesh,2015
